DatasetID,year1,author1,DATA-CM (B/SR) 0.1,ERR-S (B/SR) 0.944,EN (EV) 1.1,ANG-CM (ADEG) 2.1,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
C2606004,1951,O.Chamberlain+,0.0051,3.6e-4,3.45e+8,11.3,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606004,1951,O.Chamberlain+,0.00538,4.9e-4,3.45e+8,11.3,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606004,1951,O.Chamberlain+,0.00371,2.2e-4,3.45e+8,15.2,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606004,1951,O.Chamberlain+,0.00321,1.7e-4,3.45e+8,15.2,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606004,1951,O.Chamberlain+,0.00351,1.0e-4,3.45e+8,21.1,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606004,1951,O.Chamberlain+,0.00306,1.5e-4,3.45e+8,21.7,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606004,1951,O.Chamberlain+,0.00352,9.0e-5,3.45e+8,32.5,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606004,1951,O.Chamberlain+,0.00351,1.1e-4,3.45e+8,33.1,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606004,1951,O.Chamberlain+,0.00348,1.0e-4,3.45e+8,42.8,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606004,1951,O.Chamberlain+,0.0034,8.0e-5,3.45e+8,42.8,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606004,1951,O.Chamberlain+,0.0034,8.0e-5,3.45e+8,53.2,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606004,1951,O.Chamberlain+,0.00328,1.0e-4,3.45e+8,53.2,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
